k,subset,tau,rho,mean_r2,top10,top100
1,MMLU_PRO,0.787130277582941,0.9382135439683764,0.6194398704120139,0.4,0.53
1,BBH,0.7568210640123066,0.9153877750176694,0.6057670990138815,0.3,0.56
1,MATH,0.738059132969794,0.9026120273921062,0.42443625915121785,0.1,0.51
1,IFEval,0.6490101781064165,0.8306704903831428,0.28989661146233164,0.3,0.48
1,GPQA,0.610547739176817,0.8030846476418605,0.5083332007712874,0.0,0.24
1,MUSR,0.45280063839548473,0.6469241684060244,0.3592929780222035,0.4,0.08
2,IFEval + MMLU_PRO,0.9048384468975437,0.9855863841579994,0.6837115190100835,0.6,0.81
2,IFEval + BBH,0.8782873606686804,0.9767056414113003,0.6739639271855894,0.6,0.71
2,BBH + MATH,0.8316686403630499,0.9583309068926124,0.643162966928027,0.5,0.52
2,MATH + MMLU_PRO,0.8313825917036805,0.9610808566766698,0.6347567568223135,0.6,0.57
2,IFEval + GPQA,0.823519933169916,0.9560582155720814,0.6565380868647425,0.0,0.54
2,IFEval + MATH,0.8068071619419843,0.9451018109455186,0.4805576692158374,0.4,0.62
2,BBH + MMLU_PRO,0.7937903825183096,0.9400422054653433,0.5542847848220899,0.4,0.57
2,MUSR + MMLU_PRO,0.7871506371804939,0.938166494803593,0.6712654039843297,0.4,0.54
2,GPQA + MMLU_PRO,0.7866721107743085,0.9378613032580483,0.6203612104681921,0.4,0.52
2,MATH + GPQA,0.7625816787961514,0.921649437631513,0.5893225404824791,0.1,0.49
2,BBH + GPQA,0.7569359632311881,0.9149929537059368,0.6025461304340588,0.3,0.56
2,BBH + MUSR,0.7560018881081434,0.9149106635339237,0.6466415933793016,0.3,0.56
2,IFEval + MUSR,0.7504383280118299,0.916236494475373,0.5804480768600466,0.4,0.36
2,MATH + MUSR,0.7328310276999191,0.90563611346338,0.5862326939530327,0.0,0.43
2,GPQA + MUSR,0.6156622242377185,0.8095948057183563,0.5249133079012446,0.0,0.21
3,IFEval + BBH + MATH,0.9429312737098515,0.9948623624473042,0.7280008252147967,0.5,0.83
