candidate_pool_size,cost_saved_frac,recall_at_10,recall_at_50,recall_at_100,recall_at_200
10,0.49888542131074454,0.5,0.2,0.1,0.05
15,0.4983281319661168,0.6,0.3,0.15,0.075
20,0.4977708426214891,0.6,0.4,0.2,0.1
25,0.49721355327686134,0.6,0.5,0.25,0.125
30,0.4966562639322336,0.7,0.6,0.3,0.15
35,0.4960989745876059,1.0,0.7,0.35,0.175
40,0.49554168524297815,1.0,0.74,0.4,0.2
45,0.4949843958983504,1.0,0.74,0.45,0.225
50,0.4944271065537227,1.0,0.76,0.49,0.25
60,0.4933125278644672,1.0,0.8,0.56,0.295
70,0.49219794917521176,1.0,0.88,0.65,0.345
80,0.4910833704859563,1.0,0.92,0.7,0.395
90,0.48996879179670083,1.0,0.98,0.77,0.445
100,0.48885421310744537,1.0,0.98,0.83,0.495
110,0.4877396344181899,1.0,0.98,0.87,0.545
120,0.48662505572893444,1.0,0.98,0.9,0.59
130,0.485510477039679,1.0,1.0,0.95,0.63
140,0.4843958983504235,1.0,1.0,0.97,0.675
150,0.48328131966116805,1.0,1.0,0.98,0.71
160,0.4821667409719126,1.0,1.0,0.98,0.74
170,0.4810521622826571,1.0,1.0,0.98,0.755
180,0.47993758359340166,1.0,1.0,0.99,0.77
190,0.4788230049041462,1.0,1.0,1.0,0.8
200,0.47770842621489074,1.0,1.0,1.0,0.82
250,0.4721355327686134,1.0,1.0,1.0,0.935
300,0.4665626393223361,1.0,1.0,1.0,1.0
350,0.4609897458760589,1.0,1.0,1.0,1.0
400,0.4554168524297816,1.0,1.0,1.0,1.0
450,0.44984395898350427,1.0,1.0,1.0,1.0
500,0.44427106553722695,1.0,1.0,1.0,1.0
550,0.43869817209094963,1.0,1.0,1.0,1.0
600,0.4331252786446723,1.0,1.0,1.0,1.0
650,0.427552385198395,1.0,1.0,1.0,1.0
700,0.4219794917521177,1.0,1.0,1.0,1.0
750,0.41640659830584037,1.0,1.0,1.0,1.0
800,0.41083370485956305,1.0,1.0,1.0,1.0
850,0.40526081141328574,1.0,1.0,1.0,1.0
900,0.3996879179670084,1.0,1.0,1.0,1.0
950,0.3941150245207312,1.0,1.0,1.0,1.0
1000,0.3885421310744539,1.0,1.0,1.0,1.0
