tau,rho,top10,top25,mean_r2_imputed,k,observed,observed_idx
0.8107189163845274,0.9444118475483144,0.8,0.92,0.7371336116560009,1,coding,"(0,)"
0.7840136054421768,0.9323469387755101,0.8,0.92,0.6929949105790559,1,data_analysis,"(1,)"
0.7619047619047618,0.9153061224489796,0.8,0.92,0.5359000490415363,1,instruction_following,"(2,)"
0.8379413773754034,0.9593101867965104,0.8,0.84,0.6919782827514827,1,language,"(3,)"
0.8401360544217686,0.9610204081632652,1.0,0.96,0.766037214184388,1,math,"(4,)"
0.7984679389022422,0.9352962297682937,0.8,0.92,0.704783907738948,1,reasoning,"(5,)"
0.8554421768707482,0.9677551020408162,0.9,0.92,0.7705288468985718,2,"coding, data_analysis","(0, 1)"
0.9047619047619047,0.9837755102040815,1.0,0.96,0.8148240515601737,2,"coding, instruction_following","(0, 2)"
0.8911564625850339,0.9794897959183673,0.9,0.88,0.7758059045074077,2,"coding, language","(0, 3)"
0.8384353741496597,0.9575510204081632,1.0,0.92,0.7349984417306947,2,"coding, math","(0, 4)"
0.8656462585034013,0.9620408163265305,1.0,0.92,0.7269484747100713,2,"coding, reasoning","(0, 5)"
0.8826530612244897,0.9742857142857141,0.7,0.96,0.7343002424804237,2,"data_analysis, instruction_following","(1, 2)"
0.8639455782312924,0.9725510204081632,0.8,0.96,0.7230886174686748,2,"data_analysis, language","(1, 3)"
0.8928571428571427,0.9794897959183673,1.0,0.96,0.7714072311775143,2,"data_analysis, math","(1, 4)"
0.8843537414965985,0.9759183673469387,0.8,0.92,0.7679886999189816,2,"data_analysis, reasoning","(1, 5)"
0.846938775510204,0.9629591836734692,0.8,0.92,0.7428432754408296,2,"instruction_following, language","(2, 3)"
0.8945578231292516,0.9796938775510203,1.0,1.0,0.8003740872688776,2,"instruction_following, math","(2, 4)"
0.8775510204081631,0.9735714285714284,0.8,0.92,0.7852702114956434,2,"instruction_following, reasoning","(2, 5)"
0.9030612244897958,0.9859183673469386,1.0,0.96,0.7878061598923576,2,"language, math","(3, 4)"
0.8809523809523808,0.9761224489795918,0.9,0.88,0.7510934772968147,2,"language, reasoning","(3, 5)"
0.8724489795918365,0.9712244897959182,1.0,0.96,0.7586752845247952,2,"math, reasoning","(4, 5)"
0.9353741496598639,0.9898979591836734,0.9,0.96,0.8257190412698178,3,"coding, data_analysis, instruction_following","(0, 1, 2)"
0.8877551020408162,0.9805102040816326,0.9,0.92,0.7798598104931335,3,"coding, data_analysis, language","(0, 1, 3)"
0.8996598639455781,0.979081632653061,0.9,0.92,0.7346451543858875,3,"coding, data_analysis, math","(0, 1, 4)"
0.9098639455782312,0.9833673469387754,0.9,0.92,0.7603602641329604,3,"coding, data_analysis, reasoning","(0, 1, 5)"
0.9234693877551019,0.9872448979591836,0.9,0.92,0.848528121279048,3,"coding, instruction_following, language","(0, 2, 3)"
0.9098639455782312,0.9862244897959183,1.0,0.96,0.781788535602803,3,"coding, instruction_following, math","(0, 2, 4)"
0.9268707482993196,0.9882653061224488,1.0,1.0,0.8192458944176199,3,"coding, instruction_following, reasoning","(0, 2, 5)"
