model,overall,coding,data_analysis,instruction_following,language,math,reasoning
claude-3-5-sonnet-20240620,0.612,0.632,0.5670000000000001,0.723,0.569,0.537,0.64
gpt-4o-2024-05-13,0.55,0.46399999999999997,0.524,0.722,0.539,0.499,0.55
gpt-4-turbo-2024-04-09,0.53,0.47100000000000003,0.513,0.7140000000000001,0.45299999999999996,0.49,0.54
gpt-4-1106-preview,0.522,0.444,0.513,0.6940000000000001,0.484,0.47600000000000003,0.52
claude-3-opus-20240229,0.508,0.401,0.5429999999999999,0.7090000000000001,0.517,0.465,0.41
gpt-4-0125-preview,0.494,0.441,0.541,0.639,0.436,0.42700000000000005,0.48
deepseek-coder-v2,0.46799999999999997,0.41100000000000003,0.38299999999999995,0.672,0.33,0.522,0.49
gemini-1.5-pro-api-0514,0.444,0.32799999999999996,0.528,0.672,0.38299999999999995,0.42100000000000004,0.33
gemini-1.5-flash-api-0514,0.409,0.391,0.44,0.63,0.307,0.385,0.3
qwen2-72b-instruct,0.402,0.318,0.262,0.6829999999999999,0.292,0.434,0.42
mistral-large-2402,0.389,0.268,0.426,0.682,0.287,0.322,0.35
deepseek-chat-v2,0.384,0.335,0.38,0.643,0.32299999999999995,0.332,0.29
claude-3-sonnet-20240229,0.381,0.252,0.446,0.65,0.381,0.29600000000000004,0.26
meta-llama-3-70b-instruct,0.374,0.209,0.424,0.635,0.341,0.32299999999999995,0.31
claude-3-haiku-20240307,0.353,0.245,0.415,0.64,0.301,0.257,0.26
mixtral-8x22b-instruct-v0.1,0.348,0.331,0.303,0.632,0.265,0.26899999999999996,0.29
gpt-3.5-turbo-0125,0.344,0.292,0.41200000000000003,0.605,0.242,0.255,0.26
gpt-3.5-turbo-1106,0.341,0.268,0.41700000000000004,0.515,0.28600000000000003,0.281,0.28
command-r-plus,0.32899999999999996,0.203,0.24600000000000002,0.715,0.239,0.249,0.32
mistral-small-2402,0.32799999999999996,0.242,0.319,0.639,0.221,0.268,0.28
phi-3-medium-4k-instruct,0.303,0.20600000000000002,0.316,0.5329999999999999,0.139,0.275,0.35
phi-3-medium-128k-instruct,0.29600000000000004,0.21600000000000003,0.321,0.562,0.128,0.243,0.31
deepseek-coder-v2-lite-instruct,0.292,0.268,0.33,0.483,0.106,0.341,0.22
qwen1.5-110b-chat,0.29,0.222,0.315,0.5529999999999999,0.132,0.256,0.26
qwen1.5-72b-chat,0.289,0.22899999999999998,0.33,0.5820000000000001,0.114,0.268,0.21
command-r,0.272,0.149,0.317,0.5720000000000001,0.146,0.16899999999999998,0.28
phi-3-small-128k-instruct,0.272,0.258,0.273,0.369,0.12300000000000001,0.248,0.36
meta-llama-3-8b-instruct,0.267,0.183,0.233,0.5710000000000001,0.187,0.17600000000000002,0.25
qwen2-7b-instruct,0.265,0.292,0.287,0.447,0.102,0.258,0.2
phi-3-small-8k-instruct,0.262,0.196,0.275,0.48200000000000004,0.15,0.24100000000000002,0.23
openhermes-2.5-mistral-7b,0.233,0.11599999999999999,0.26899999999999996,0.528,0.114,0.201,0.17
mixtral-8x7b-instruct-v0.1,0.225,0.113,0.281,0.44799999999999995,0.138,0.19,0.18
mistral-7b-instruct-v0.2,0.193,0.11599999999999999,0.146,0.516,0.091,0.16,0.13
phi-3-mini-4k-instruct,0.193,0.149,0.147,0.401,0.071,0.19899999999999998,0.19
zephyr-7b-alpha,0.192,0.113,0.174,0.528,0.07200000000000001,0.096,0.17
phi-3-mini-128k-instruct,0.18,0.11599999999999999,0.087,0.496,0.068,0.215,0.1
zephyr-7b-beta,0.17300000000000001,0.083,0.157,0.483,0.043,0.11199999999999999,0.16
deepseek-v2-lite-chat,0.171,0.086,0.182,0.418,0.092,0.12,0.13
qwen1.5-7b-chat,0.165,0.066,0.162,0.441,0.062,0.129,0.13
starling-lm-7b-beta,0.16399999999999998,0.183,0.02,0.38299999999999995,0.073,0.138,0.19
vicuna-7b-v1.5-16k,0.13699999999999998,0.013000000000000001,0.09300000000000001,0.42100000000000004,0.079,0.066,0.15
vicuna-7b-v1.5,0.11699999999999999,0.01,0.027000000000000003,0.418,0.087,0.043,0.12
qwen1.5-4b-chat,0.111,0.04,0.091,0.27699999999999997,0.057999999999999996,0.071,0.13
llama-2-7b-chat-hf,0.10300000000000001,0.0,0.0,0.449,0.069,0.048,0.05
qwen2-1.5b-instruct,0.1,0.055999999999999994,0.1,0.259,0.03,0.07200000000000001,0.08
yi-6b-chat,0.08800000000000001,0.013000000000000001,0.044000000000000004,0.272,0.047,0.071,0.08
qwen2-0.5b-instruct,0.068,0.02,0.02,0.266,0.027999999999999997,0.042,0.03
qwen1.5-1.8b-chat,0.061,0.0,0.033,0.22899999999999998,0.032,0.021,0.05
qwen1.5-0.5b-chat,0.053,0.0,0.0,0.213,0.028999999999999998,0.034,0.04
