model,IFEval,BBH,MATH,GPQA,MUSR,MMLU_PRO
0-hero/Matter-0.2-7B-DPO,0.3302792147058693,0.3596254301656297,0.014350453172205438,0.25922818791946306,0.381375,0.1163563829787234
01-ai/Yi-1.5-34B,0.2841172533322695,0.5976391706360018,0.15332326283987915,0.36577181208053694,0.4236041666666667,0.4665890957446808
01-ai/Yi-1.5-34B-32K,0.3118691737922047,0.6015685776542417,0.1540785498489426,0.36325503355704697,0.4398229166666667,0.4709109042553192
01-ai/Yi-1.5-34B-Chat,0.6066758423205982,0.6083748310271819,0.277190332,0.3649328859060403,0.4281979166666667,0.45204454787234044
01-ai/Yi-1.5-34B-Chat-16K,0.456449997,0.6100218256499571,0.21374622356495468,0.33808724832214765,0.43976041666666665,0.45445478723404253
01-ai/Yi-1.5-6B,0.26166017278598563,0.44925820198929056,0.066465257,0.313758389,0.43740625,0.31441156914893614
01-ai/Yi-1.5-6B-Chat,0.5145270105542183,0.4571311331954389,0.1623867069486405,0.30201342281879195,0.43917708333333333,0.3193151595744681
01-ai/Yi-1.5-9B,0.29358435617494916,0.514294179,0.11404833836858005,0.37919463087248323,0.43278124999999995,0.3916223404255319
01-ai/Yi-1.5-9B-32K,0.23031113002389217,0.496332116,0.10800604229607251,0.35906040268456374,0.4186145833333333,0.37649601063829785
01-ai/Yi-1.5-9B-Chat,0.6045525871354672,0.55590643,0.2258308157099698,0.3347315436241611,0.42590625,0.39752327127659576
01-ai/Yi-1.5-9B-Chat-16K,0.4214040966856829,0.5153383364651778,0.1782477341389728,0.3087248322147651,0.40990624999999997,0.39935172872340424
01-ai/Yi-34B,0.3045751938190667,0.5457099951794562,0.051359517,0.36661073825503354,0.4118541666666667,0.441156915
01-ai/Yi-34B-200K,0.15424850507763843,0.5441817925289527,0.057401813,0.3565436241610738,0.38171874999999994,0.45345744680851063
01-ai/Yi-34B-Chat,0.4698887839820565,0.5560872910766164,0.062688822,0.33808724832214765,0.39784375,0.4093251329787234
01-ai/Yi-6B,0.28933784580468713,0.4309230591000865,0.015861027190332326,0.26929530201342283,0.39368749999999997,0.29911901595744683
01-ai/Yi-6B-200K,0.084330687,0.42892948109603307,0.018126888,0.28187919463087246,0.45873958333333337,0.2844082446808511
01-ai/Yi-6B-Chat,0.33952135888331847,0.41326019207548687,0.013595166163141994,0.29446308724832215,0.36879166666666663,0.3061003989361702
01-ai/Yi-9B,0.2708779372066118,0.49396075125308075,0.055891238670694864,0.3179530201342282,0.40540624999999997,0.35738031914893614
01-ai/Yi-9B-200K,0.23270921155866434,0.4793302602023641,0.066465257,0.31543624161073824,0.42940625,0.36220079787234044
01-ai/Yi-Coder-9B-Chat,0.4817041006750976,0.48142000339111674,0.040030211,0.24748322147651006,0.3991770833333333,0.24251994680851063
1-800-LLMs/Qwen-2.5-14B-Hindi,0.582570912,0.6523901531956199,0.3330815709969788,0.3624161073825503,0.4489375,0.5262632978723404
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,0.30774677854758703,0.6284322714967584,0.311178248,0.3699664429530201,0.4490625,0.516373005
1024m/PHI-4-Hindi,0.008168327,0.6710015642760666,0.23338368580060423,0.3976510067114094,0.4913541666666667,0.52393617
1024m/QWEN-14B-B100,0.7762104549262623,0.653271133,0.5438066465256798,0.35067114093959734,0.41,0.5178690159574468
152334H/miqu-1-70b-sf,0.5181740005407873,0.6102361685099691,0.12462235649546828,0.35067114093959734,0.45820833333333333,0.42278922872340424
1TuanPham/T-VisStar-7B-v0.1,0.36070404305021786,0.5052203113352468,0.057401813,0.28523489932885904,0.4375,0.3210605053191489
1TuanPham/T-VisStar-v0.1,0.36070404305021786,0.5052203113352468,0.057401813,0.28523489932885904,0.4375,0.3210605053191489
3rd-Degree-Burn/L-3.1-Science-Writer-8B,0.42625012743963797,0.5041306326216103,0.10347432024169184,0.27432885906040266,0.3959479166666666,0.36494348404255317
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,0.22134381219608418,0.34609423326328875,0.26586102719033233,0.25671140939597314,0.3089166666666667,0.17495013297872342
3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,0.2892381104358657,0.33427703119251256,0.08836858,0.2558724832214765,0.3340625,0.11269946808510638
3rd-Degree-Burn/Llama-Squared-8B,0.27552449722292405,0.4431025683868353,0.057401813,0.27181208053691275,0.30894791666666666,0.2366190159574468
4season/final_model_test_v2,0.3191132860809319,0.6342049783295018,0.083836858,0.3271812080536913,0.4314479166666667,0.3528091755319149
AALF/FuseChat-Llama-3.1-8B-Instruct-preview,0.7189579205397235,0.5119887898349903,0.24773413897280966,0.3053691275167785,0.38200000000000006,0.3732546542553192
AALF/FuseChat-Llama-3.1-8B-SFT-preview,0.7280504616639405,0.5240303130445233,0.22507552870090636,0.30453020134228187,0.40199999999999997,0.37433510638297873
